Fabricated Timestamp,Temperature,Humidity,ms,Speed_and_mode,Motion Detected (0/1),Mode( Auto=1),Speed
11332961,26,61,0,0,0,0,0
11332931,26,60,0,0,0,0,0
11332901,26,61,4,4,0,0,4
11332871,26,61,3,3,0,0,3
11332841,26,61,2,2,0,0,2
11332811,26,61,4,4,0,0,4
11332781,26,61,4,4,0,0,4
11332751,26,60,2,2,0,0,2
11332721,26,59,2,2,0,0,2
11332691,26,58,2,2,0,0,2
11332661,26,59,8,8,0,1,0
11332631,26,59,8,8,0,1,0
11332601,26,60,8,8,0,1,0
11332571,26,61,9,9,0,1,1
11332541,26,62,10,10,0,1,2
11332511,26,64,11,11,0,1,3
11332481,26,64,139,11,1,1,3
11332451,26,66,8,8,0,1,0
11332421,26,66,8,8,0,1,0
11332391,26,64,8,8,0,1,0
11332361,26,63,8,8,0,1,0
11332331,26,62,8,8,0,1,0
11332301,26,63,8,8,0,1,0
11332271,26,62,8,8,0,1,0
11332241,26,63,8,8,0,1,0
11332211,26,63,8,8,0,1,0
11332181,26,64,8,8,0,1,0
11332151,26,65,8,8,0,1,0
11332121,26,63,8,8,0,1,0
11332091,26,65,8,8,0,1,0
11332061,26,64,8,8,0,1,0
11332031,26,66,8,8,0,1,0
11332001,26,67,8,8,0,1,0
11331971,26,66,8,8,0,1,0
11331941,26,65,8,8,0,1,0
11331911,26,65,8,8,0,1,0
11331881,26,63,8,8,0,1,0
11331851,26,63,8,8,0,1,0
11331821,26,63,8,8,0,1,0
11331791,26,63,8,8,0,1,0
11331761,26,65,8,8,0,1,0
11331731,26,65,8,8,0,1,0
11331701,26,67,8,8,0,1,0
11331671,26,64,8,8,0,1,0
11331641,26,66,8,8,0,1,0
11331611,26,64,8,8,0,1,0
11331581,26,64,8,8,0,1,0
11331551,26,63,8,8,0,1,0
11331521,26,63,8,8,0,1,0
11331491,26,63,8,8,0,1,0
11331461,26,63,8,8,0,1,0
11331431,26,66,8,8,0,1,0
11331401,26,66,8,8,0,1,0
11331371,26,65,8,8,0,1,0
11331341,26,65,8,8,0,1,0
11331311,26,63,8,8,0,1,0
11331281,26,62,8,8,0,1,0
11331251,26,62,8,8,0,1,0
11331221,26,63,8,8,0,1,0
11331191,26,63,8,8,0,1,0
11331161,26,62,8,8,0,1,0
11331131,26,63,8,8,0,1,0
11331101,26,66,8,8,0,1,0
11331071,26,67,8,8,0,1,0
11331041,26,66,8,8,0,1,0
11331011,26,65,8,8,0,1,0
11330981,26,65,8,8,0,1,0
11330951,26,62,8,8,0,1,0
11330921,26,63,8,8,0,1,0
11330891,26,61,8,8,0,1,0
11330861,26,61,8,8,0,1,0
11330831,26,60,8,8,0,1,0
11330801,26,62,8,8,0,1,0
11330771,26,64,8,8,0,1,0
11330741,26,62,8,8,0,1,0
11330711,26,60,8,8,0,1,0
